                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7317,                 4.1205,                 3.9623,                0.87028,                  0.018,                0.00469,                0.00133,                 3.0736,                 3.5968,                 3.4915,              0.0033272,              0.0033272,              0.0033272
                      2,                 2.9397,                 3.1669,                 3.0823,                0.64435,                0.09383,                0.05495,                0.01916,                 2.7112,                 2.8853,                 2.8998,              0.0066078,              0.0066078,              0.0066078
                      3,                 2.4859,                 2.5742,                 2.5141,                0.56528,                0.13611,                0.11255,                0.05094,                 2.3279,                 2.3753,                 2.5702,              0.0098356,              0.0098356,              0.0098356
                      4,                 2.2279,                 2.2065,                 2.1902,                 0.1963,                0.20642,                0.17182,                0.08521,                 2.1728,                 2.1754,                 2.3167,              0.0097624,              0.0097624,              0.0097624
                      5,                 2.0962,                 1.9765,                 2.0279,                 0.2378,                0.22802,                0.19637,                0.10606,                 2.0648,                 2.0087,                 2.2254,              0.0096832,              0.0096832,              0.0096832
                      6,                 2.0024,                 1.8336,                 1.9405,                0.26501,                0.24343,                0.21526,                0.11385,                 2.0358,                 1.8301,                 2.1841,               0.009604,               0.009604,               0.009604
                      7,                 1.9432,                 1.7402,                 1.8644,                0.35736,                0.26868,                0.23245,                0.12887,                 1.9649,                 1.7891,                 2.0877,              0.0095248,              0.0095248,              0.0095248
                      8,                  1.871,                 1.6325,                 1.8021,                0.82163,                0.22196,                0.24101,                0.13186,                 1.9047,                 1.7115,                 2.0484,              0.0094456,              0.0094456,              0.0094456
                      9,                 1.8476,                 1.5921,                 1.7738,                0.24351,                0.25907,                0.23451,                0.13439,                 1.8414,                  1.723,                 1.9841,              0.0093664,              0.0093664,              0.0093664
                     10,                 1.8046,                 1.5392,                 1.7401,                0.41938,                0.28745,                0.26364,                0.14908,                 1.8328,                 1.6556,                 1.9643,              0.0092872,              0.0092872,              0.0092872
                     11,                 1.7695,                 1.4905,                 1.7066,                0.51701,                0.29536,                 0.2549,                0.14735,                 1.8167,                 1.5897,                 1.9415,               0.009208,               0.009208,               0.009208
                     12,                 1.7535,                 1.4676,                 1.6968,                0.71795,                0.25079,                0.27343,                0.15601,                 1.7865,                 1.5697,                  1.897,              0.0091288,              0.0091288,              0.0091288
                     13,                  1.726,                 1.4347,                 1.6695,                0.57805,                0.27869,                0.27682,                0.16716,                 1.7678,                 1.5427,                   1.89,              0.0090496,              0.0090496,              0.0090496
